driver_number,broadcast_name,country_code_x,year,session_name,date_start,time_start,date_end,time_end,gmt_offset,starting_position,wins_before,pit_stops_count,avg_pit_stop_duration,qualifying_position,position_category
14,F ALONSO,ESP,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,6,0,0,0.0,8,points
16,C LECLERC,MON,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,1,0,0,0.0,2,top3
16,C LECLERC,MON,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,1,0,0,0.0,2,top3
18,L STROLL,CAN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,9,0,0,0.0,7,points
18,L STROLL,CAN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,9,0,0,0.0,7,points
20,K MAGNUSSEN,DEN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,16,0,0,0.0,20,no_points
20,K MAGNUSSEN,DEN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,16,0,0,0.0,20,no_points
21,N DE VRIES,NED,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,18,0,0,0.0,6,no_points
21,N DE VRIES,NED,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,18,0,0,0.0,6,no_points
22,Y TSUNODA,JPN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,8,0,0,0.0,14,points
22,Y TSUNODA,JPN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,8,0,0,0.0,14,points
23,A ALBON,THA,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,12,0,0,0.0,9,no_points
23,A ALBON,THA,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,12,0,0,0.0,9,no_points
24,G ZHOU,CHN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,15,0,0,0.0,10,no_points
24,G ZHOU,CHN,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,15,0,0,0.0,10,no_points
27,N HULKENBERG,GER,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,20,0,0,0.0,15,no_points
27,N HULKENBERG,GER,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,20,0,0,0.0,15,no_points
31,E OCON,FRA,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,19,0,0,0.0,18,no_points
31,E OCON,FRA,2023,Race,2023-04-30,11:00:00,2023-04-30,13:00:00,04:00:00,19,0,0,0.0,18,no_points
